69|lat="48.141251569613814" lon="17.116295462474227"|C8||||||R18|
70|lat="48.140942193567753" lon="17.116739619523287"|C13|IP7|||||R18|
71|lat="48.151571871712804" lon="17.109704939648509"|||||||R12|
0071|48.128496408462524, 17.215391183272004|C24A||||||O8|
72|lat="48.151359474286437" lon="17.109520202502608"|||||||R12|
73|lat="48.14930934458971" lon="17.108567347750068"|||||||R12|
74|lat="48.149249581620097" lon="17.108525689691305"|||||||R12|
75|lat="48.149264333769679" lon="17.108599869534373"|||||||R12|
76|N48° 07.399' E17° 06.869'|C12||||||5006|
77|N48° 07.366' E17° 06.873'|||||||5006|
78|N48° 07.377' E17° 06.821'|C12|IP7|||||5006|
79|N48° 07.371' E17° 06.812'|IP7||||||5006|
80|N48° 07.387' E17° 06.791'|C12||||||5006|
81|N48° 07.402' E17° 06.768'|||||||5006|
0081|48.127728961408138, 17.213617404922843|C24A||||||O8|
85|N48° 06.007' E17° 07.900'|B3||||||001|
86|N48° 09.603' E17° 07.328'|IP7||||||O3|
87|N48° 09.597' E17° 07.347'|IP7||||||O3|
89|N48° 09.375' E17° 03.543'|IS40F||||||R11|
090|N48° 08.742' E17° 04.194'|C12||||||004|
0091|48.12755461782217, 17.213193448260427|C24B||||||O8|
0101|lat="48.189809191972017" lon="17.138077598065138"|C12|IP7|||||R13|
0102|48.126539150252938, 17.212852723896503|C24A||||||O8|
0153|48.125186813995242, 17.21127332188189|C24B||||||O8|
0182|48.125101821497083, 17.211397793143988|C24A||||||O8|
0202|48.126204293221235, 17.212592465803027|C24B||||||O8|
0212|48.126585753634572, 17.213122872635722|C24A||||||O8|
0222|48.128143781796098, 17.216771431267262|C24B||||||O8|
0232|48.128365818411112, 17.21730787307024|C24A||||||O8|
0242|48.129708347842097, 17.220439771190286|C24B||||||O8|
0252|48.129788227379322, 17.220686869695783|C8||||||O8|
0262|48.130027195438743, 17.221203865483403|C8X|IP7|||||O8|
0272|N48° 07.786' E17° 13.102'|C24A||||||O8|
662|N48° 09.455' E17° 05.895'|C12|B3|||||R12|
663|N48° 09.368' E17° 06.099'|B3||||||R12|
669|"48.148000007495284, 17.071871040388942"|C12||||||R11|
670|"48.147948039695621, 17.072722977027297"|C12||||||R11|
671|"48.146440973505378, 17.075699977576733"|C8|C8|||||R11|
672|"48.143978035077453, 17.074905959889293"|IP7||||||R11|
673|"48.143975017592311, 17.074909983202815"|||||||R11|
674|"48.144453037530184, 17.075095977634192"|C8|IP7|||||R11|004
675|"48.144453037530184, 17.075821598991752"|||||||004|
676|"48.137902999296784, 17.074824990704656"|||||||004|
677|"48.138145990669727, 17.074905037879944"|||||||001|004
678|"48.143933024257421, 17.07509296014905"|||||||R11|
679|"48.143287030979991, 17.07930201664567"|||||||R11|
680|"48.141491962596774, 17.088021961972117"|C12|C12|||||R11|
681|"48.141245031729341, 17.089233985170722"|C12|C12|||||R11|
682|"48.14115802757442, 17.090090028941631"|C12|C12|||||R11|
684|"48.139658086001873, 17.105156164616346"|C12|C12X|||||R11|
687|"48.148194970563054, 17.129007959738374"|C13||||||R26|
689|"48.141750963404775, 17.154012015089393"|||||||2001|
690|"48.144462006166577, 17.15377296321094"|C13|IS40F|||||2001|
691|"48.14446703530848, 17.153671039268374"|C12|C12X|IS40H||||2001|
692|"48.144515985623002, 17.152505032718182"|C16|IP7||||ZOSADNI Z BICYKLA|2001|
693|"48.144563008099794, 17.15267401188612"|||||||2001|
694|"48.144540963694453, 17.152651967480779"|||||||2001|
695|"48.145268009975553, 17.151389988139272"|C12||||||2001|
696|"48.148480039089918, 17.150213001295924"|C12||||||2001|
697|"48.148753959685564, 17.150364965200424"|||||||2001|
699|"48.150118784978986, 17.149305073544383"|C12||||||2001|
700|"48.150216015055776, 17.14921697974205"|C12||||||2001|
702|"48.153990972787142, 17.146875998005271"|C12|C12X|||||2001|
703|"48.15413162112236, 17.14687641710043"|C12|C12X|||||2001|
709|"48.158765975385904, 17.176971975713968"|C12|C16||||ZÍĎ Z BICYKLA|R16|
710|"48.15864603035152, 17.175121000036597"|||||||R16|
711|"48.15841200761497, 17.17183998785913"|||||||R16|
712|"48.158407984301448, 17.171694980934262"|C12||||||R16|
713|"48.158029960468411, 17.166595011949539"|C12||||||R16|
714|"48.158023003488779, 17.166450005024672"|C12||||||R16|
715|"48.157827034592628, 17.16410499997437"|C12||||||R16|
716|"48.157779006287456, 17.163074025884271"|IP7||||||R16|
717|"48.157743969932199, 17.162700025364757"|C12|IP7|||||R16|
718|"48.157365024089813, 17.156648961827159"|||||||R16|
719|"48.157319007441401, 17.156183011829853"|C12||||||R16|
720|"48.15710099413991, 17.155000995844603"|C12||||||R16|
721|"48.156839981675148, 17.151082037016749"|C12||||||R16|
722|"48.156911982223392, 17.150718010962009"|C12||||||R16|
723|"48.156791031360626, 17.150413999333978"|C12||||||R16|
724|"48.156720958650112, 17.149561978876591"|C12||||||R16|
725|"48.156491965055466, 17.146533010527492"|||||||R16|
732|"48.153425026684999, 17.171836970373988"|C12|IS40D|||||S563|
733|"48.151612021028996, 17.172096977010369"|||||||S563|
734|"48.148567965254188, 17.205934971570969"|C12|C12X|||||R16|
735|"48.148317011073232, 17.206512987613678"|C12||||||R16|
736|"48.148659998551011, 17.206978015601635"|C12||||||R16|
737|"48.148605013266206, 17.207073988392949"|||||||R16|
738|"48.148553045466542, 17.207160657271743"|C13||||||R16|
